Name,Online_order,Book_table,Rate,Votes,Dish_liked,Approx_cost(for two people)
Potful,1,No,3.8 out of 5,832,"Paneer Biryani, Pot Biryani, Calcutta Biryani, Raita, Paneer Tikka, Vegetable Biryani, Hyderabadi Biryani",650
Bahar Cafe,1,Yes,4.0 out of 5,903,"Chicken Biryani, Hyderabadi Biryani, Butter Naan, Vegetable Biryani, Ulvacharu Biryani, Mutton Biryani, Raita",750
KFC,1,No,3.2 out of 5,380,"Rice Bowl, Burgers, French Fries, Popcorn Chicken",450
DinePost9,1,No,3.8 out of 5,798,"Chicken Manchurian, Biryani, Chicken Butter Masala, Tandoori Chicken, Paneer Curry, Dal Fry, Gulab Jamun",450
Thalassery Restaurant,1,No,3.4 out of 5,692,"Shawarma, Appam, Chai, Tea, Thalassery Biryani, Chicken Grill, Vegetable Stew",600
Sri Vishnu Grand,1,No,3.8 out of 5,135,Prompt Service,400
Bathinda Dine,1,No,4.0 out of 5,230,"Butter Chicken, Paneer Methi Malai, Lassi, Butter Naan, Sarso Da Saag, Tandoori Chicken, Gajar Ka Halwa",950
WOW! Momo,1,No,3.5 out of 5,79,"Chocolate Momos, Thukpa, Momo Burger, Chicken Momo",400
Behrouz Biryani,1,No,4.0 out of 5,357,"Basmati Rice, Gulab Jamun, Raita, Mutton Biryani, Paneer Subz Biryani, Mughlai Biryani, Dum Gosht",650
Maa Bhook Lagi,1,No,4.1 out of 5,152,"Paratha, Chicken Thali, Kheer, Veg Dum Biryani, Raita, Chole, Chicken Curry",400
Cake Town Cafe,1,No,3.9 out of 5,75,Chocolate Cake,500
Kairali Restaurant,1,No,3.9 out of 5,94,"Beef Fry, Beef Biryani, Fish Curry, Appam, Karimeen Fry",200
Punjabi Food Point,1,No,3.3 out of 5,200,"Aloo Paratha, Panneer Butter Masala",450
Punjabi Tadka,1,No,2.8 out of 5,188,"Paneer Parantha, Mutton Biryani, Lassi, Dal Makhani, Thali, Aloo Paratha",400
Sri Udupi Park,1,No,3.1 out of 5,226,"Benne Dosa, Idli Vada, Biryani, Cheese Masala Dosa, Filter Coffee, Paper Plain Dosa",500
Pizza Hut,1,No,2.8 out of 5,105,Garlic Bread,600
The Punjabi Rasoi,1,Yes,3.7 out of 5,194,"Kulcha, Panneer Butter Masala, Paneer Methi Malai, Roti, Tangdi Kabab, Dal Makhani, Tomato Chicken",800
Punjabi Nukkad Pure Veg,1,No,3.5 out of 5,378,"Lassi, Paratha, Chur Chur Naan, Raita, Chana Masala, Kheer, Buttermilk",500
Mealer.in,1,No,3.9 out of 5,432,"Rajma, Dal Makhani, Maggi, Roti, Chole, Chicken Biryani, Egg Curry",450
Kya Khaoge,1,No,3.7 out of 5,63,"Bhatti Chicken, Chole, Shahi Tukda",300
Rayalaseema Chefs,1,Yes,3.9 out of 5,225,"Bamboo Chicken, Butter Naan, Mutton Biryani, Paneer Pakora, Chicken Pot Biryani, Ulvacharu Biryani, Jowar Roti",800
The Nosh House,1,No,4.3 out of 5,220,"Sandwich, Pancakes, Sandwiches, Pasta, Waffles, Chocolate Cake, Salted Caramel",600
Firangi Bake,1,No,4.1 out of 5,88,"Lasagne, Garlic Bread, Veg Lasagna",600
Savoury Restaurant,1,No,2.9 out of 5,827,"Kerala Parotta, Jumbo Shawarma, Dragon Chicken, Rolls, Vegetarian, Chicken Shawarama, Faluda",800
Faasos,1,No,4.1 out of 5,193,"Rolls, Chicken Wrap, Veggie Wrap, Thali, Paneer Curry, Sabudana Vada, Sabudana Kheer",500
The Flying Cup,1,No,4.2 out of 5,233,"Tea, Coffee, Sabudana Khichdi, Samosa, Sandwiches, Khichda, Onion Pakoda",150
The Rasaganga,1,No,3.7 out of 5,404,"Coffee, Chai, Idli, Pav Bhaji, Vada, Tea, Masala Dosa",500
Sarjapur Social,1,No,4.6 out of 5,1193,"Cocktails, Mocktails, Momos, Nachos, Crispy Corn, Mojito, Chicken Tennessee Wings","1,500"
Just Shawarma,1,No,3.9 out of 5,78,"Fries, Whole Meat Shawarma, Rolls",300
Konaseema Kitchen,1,Yes,3.8 out of 5,571,"Veg Dum Biryani, Buttermilk, Butter Chicken, Chicken Biryani, Rajugari Kodi Pulao, Tikka, Chicken Curry",600
PSV's Andhra Paradise,1,No,3.5 out of 5,116,"Chicken Guntur, Biryani, Thali",600
Maia - Eat | Bake | Mom,1,Yes,4.3 out of 5,996,"Matar Paneer, Pizza, Pasta, Sandwiches, Calzone, Mocktails, Vegetarian","1,200"
Happy Endings,1,No,4.3 out of 5,490,"Brownie Fudge Sundae, Ferrero Rocher Shake, Cheesecake, Chocolate Mocha, Chocolate Truffle, Pasta Alfredo, Chocolate Sundae",500
Meghana Biryani,1,No,2.3 out of 5,235,"Paneer Biryani, Vegetable Biryani, Chicken Boneless Biryani",800
Andhra Bhojanam,1,No,3.6 out of 5,48,Chicken Curry,400
Hyderabad Chefs,1,No,4.0 out of 5,717,"Bamboo Chicken, Hyderabadi Biryani, Ulvacharu Biryani, Spring Roll, Tandoori Chicken, Vegetable Biryani, Pot Biryani",800
Byg Brewski Brewing Company,1,Yes,4.9 out of 5,16345,"Cocktails, Dahi Kebab, Rajma Chawal, Butter Chicken, Craft Beer, Chicken Dumplings, Teriyaki Fish","1,600"
Suryawanshi,1,Yes,4.5 out of 5,125,"Misal Pav, Chicken Chatpata, Shrikhand, Puran Poli, Vada, Mutton Thali, Kokum Sharbat",700
Chili's American Grill & Bar,1,Yes,4.5 out of 5,1365,"Pork Ribs, Chicken Soup, Veg Fajitas, Cocktails, Burgers, Tacos, Pasta","1,800"
Delite Chaat House,1,No,3.5 out of 5,178,"Chaat, Vada Pav, Fafda, Sandwiches, Kutchi Dabeli, Sev Puri",300
Sri Krishna Sagar,1,No,3.5 out of 5,234,"Coffee, Vada, Chaat, Rava Idli",400
Petoo,1,No,4.1 out of 5,103,"Biryani, Gulab Jamun, Shikanji, Kulfi, Chaat",800
Dhaba Estd 1986 Delhi,1,Yes,4.4 out of 5,1209,"Mutton Curry, Lassi, Dal Makhani, Chicken Butter Masala, Pav Bhaji, Chicken Curry, Paneer Tikka","1,100"
Inhouse Burger,1,No,4.0 out of 5,167,"Burgers, Jerk Chicken Salad, Salads, Lemon Mojito, Lemonade, Chicken Patty, Veg Burger",400
Manchow,1,Yes,3.8 out of 5,157,"Veg Manchow Soup, Garlic Butter Noodle, Chop Suey, Chicken Dim Sum",600
Bangaliana,1,No,3.7 out of 5,309,"Chicken Curry, Mutton Curry, Mutton Kosha, Dhokar Dalna, Fish Curry, Mocha Chingri, Luchi",600
La Casa Brewery And Kitchen,1,Yes,4.4 out of 5,1381,"Salads, Wheat Beer, Craft Beer, Pepperoni Pizza, Prawn Ghee Roast, Cocktails, Curry Leaf Chicken","1,500"
Biriyani Zone,1,No,3.9 out of 5,667,"Sea Food, Vegetable Biryani, Mushroom Manchurian, Hyderabadi Biryani, Chicken Biryani, Mutton Biryani, Chicken Guntur",800
Soup'ermanz Kitchen,1,No,4.1 out of 5,433,"Crispy Chicken, Burgers, Pizza, Pasta, Chicken Burger, Clear Soup, Brownie",750
Healthie,1,No,3.9 out of 5,70,"Rice Bowl, Sandwich, Sandwiches, Chicken Grill",600
Sri Dalma,1,No,3.8 out of 5,77,"Thali, Mutton Handi",350
Baker's Home,1,No,4.0 out of 5,175,Designer Cakes,300
Al Khansah,1,No,3.9 out of 5,370,"Chicken Tikka Masala, Chicken Biryani, Mutton Biryani, Chicken Curry, Gajar Ka Halwa, Malai Kebab, Gulab Jamun",550
Chullah Bhatti,1,Yes,4.0 out of 5,557,"Masala Papad, Malai Kofta, Panneer Butter Masala, Fish, Vegetable Biryani, Paneer Tikka, Lassi",900
Feel@Home,1,No,3.6 out of 5,42,Thali,300
Kabab Magic,1,No,3.1 out of 5,281,"Chicken Grill, Grape Juice, Tandoori Chicken, Shawarma Roll, Wings, Rolls, Chicken Curry",400
The Kebab House,1,No,4.3 out of 5,49,"Cheese Naan, Biryani, Onion Rings",250
Poha On Wheels,1,No,4.1 out of 5,65,Indori Poha,100
Float,1,Yes,4.4 out of 5,3061,"Butter Fish, Chicken Burritos, Cocktails, Mocktails, Rabri, Exotic Veg Pizza, Potato Wedges","1,500"
Domino's Pizza,1,No,3.6 out of 5,260,"Pizza Burger, Garlic Bread, Chocolava",800
Shake It Off,1,No,4.0 out of 5,60,"Momos, Thick Shakes, Sandwiches, Veg Maggi, Burgers",600
InnerChef,1,No,3.9 out of 5,231,"Butter Chicken, Salads, Dal Makhani, Paratha, Vada, Brownie Chocolate, Chole",500
Broadway - The Gourmet Theatre,1,Yes,4.2 out of 5,1142,"Sushi, Cocktails, Mocktails, Bamboo Chicken Biryani, Coconut Soup, Pasta, Sea Food","1,800"
Grigliato,1,No,3.9 out of 5,715,"Beer, Steak, Burgers, Fritters, Caramel Custard, Pasta Alfredo, Pizza","1,000"
Crunch Pizzas - Express Delivery,1,No,3.0 out of 5,237,"Pizza, Pepperoni",500
Parrattha Ssinghh,1,No,4.2 out of 5,45,"Aloo Paratha, Dal Makhani, Paneer Parantha, Chaat",250
Yummy Tummy,1,No,3.0 out of 5,111,"Rolls, Paratha",400
Beijing Bites,1,No,3.9 out of 5,396,"Dragon Chicken, Salad, Hakka Noodles, Chicken Momo, Chop Suey, Fish Chilli, Golden Fried Prawns",850
Lungees Foods,1,No,3.7 out of 5,160,"Beef Curry, Kerala Parotta, Tea, Appam, Paratha, Beef Fry, Biryani",500
Bombay Brasserie,1,No,4.3 out of 5,555,"Butter Chicken, Beer, Vegetable Biryani, Kulfi, Cocktails, Chur Chur Paratha, Keema Pav","1,800"
Ajwa Thalassery Biryani,1,Yes,3.9 out of 5,42,"Thalassery Biryani, Chicken Fry, Chicken Biryani",500
Folklore Restaurant,1,No,3.4 out of 5,262,"Duck Roast, Appam, Kadala Curry, Chicken Curry, Chicken Biryani, Fish Fry, Egg Curry",450
Napoli Italian Bistro,1,Yes,4.1 out of 5,1056,"Pasta, Pizza, Chocolate Bomb, Wine, Ginger Lime Mojito, Tiramisu, Watermelon Mojito","1,200"
Uptown Sliders & Shakes,1,No,3.9 out of 5,112,"Burgers, Strawberry Shake, Fries, Pancakes, Chicken Salad, Lamb",600
The Grub Central,1,Yes,4.0 out of 5,797,"Barbeque Chicken Pizza, Paneer Pizza, Burgers, Crispy Chicken, Aglio Olio Pasta, Chicken Wings, English Breakfast",700
Wangs Kitchen,1,No,2.4 out of 5,438,"Chicken Lollipop, Spring Roll, Momos, Singapore Noodles, Chop Suey, Clear Soup, Sweet Corn Soup","1,000"
Juice Junction Food Court,1,No,3.8 out of 5,210,"Sandwiches, Maggi, Rolls, Chole Bhature, Ginger Tea, Paratha, Rava Masala Dosa",200
Sintales,1,No,3.6 out of 5,44,"Pizza, Burgers, Brownie, Oreo Shake, Thai Fries",600
The Litti Company,1,No,3.7 out of 5,33,"Liti Chokha, Aloo Litti, Dal Halwa",400
Vandana Andhra and Multi Cuisine,1,Yes,4.1 out of 5,481,"Chicken Guntur, Thali, Prawn Pepper Fry, Chicken Biryani, Gulab Jamun, Mutton Biryani, Halwa",900
Aashish Foods,1,No,3.8 out of 5,34,"Paratha, Thali, Rajma",150
Laddoos,1,No,2.9 out of 5,163,"Paratha, Samosa, Chole Bhature, Pav Bhaji, Kachori, Vada Pav",250
Rusbury Fresh Sweets And Savouries,1,No,4.0 out of 5,65,"Panipuri, Samosa, Rasmalai",200
Shree Khana Khazana,1,No,4.2 out of 5,166,"Thali, Lassi, Dal Bati Churma, Paratha, Buttermilk, Paneer Malai Kofta, Dal Tadka",450
Moti Mahal Delux,1,Yes,4.0 out of 5,547,"Butter Chicken, Kadhai Paneer, Tawa Chicken, Murgh Lababdar, Dal Makhani, Vegetable Biryani, Palak Paneer","1,000"
Shri Vishnu Grand,1,No,3.0 out of 5,139,"Rava Idli, Tea, Coffee, Rava Dosa, Biryani, Masala Dosa, Pav Bhaji",450
Kitchen On Table,1,No,4.3 out of 5,787,"Sushi, Mocktails, Noodles, Salad, Fish, Miso Soup, Sashimi","1,000"
Charcoal Eats,1,No,4.0 out of 5,55,"Pizza, Hyderabadi Chicken Biryani, Chicken Tikka Biryani",500
Foodbell,1,No,NEW,0,"Spring Roll, Kheer, Chilli Paneer",300
Zayakedar,1,No,4.0 out of 5,250,"Rajma, Fried Rice, Lassi, Butter Phulkas, Bhindi Fry, Thali, Butter Chicken",250
Amrutha Grand Restaurant,1,No,3.2 out of 5,204,"Malai Kofta, Chicken Boneless Biryani, Naan, Sweet Corn Soup, Noodles, Thali, Hyderabadi Dum Biryani",500
Nanda's,1,No,2.9 out of 5,361,"Butter Chicken, Andhra Meal, Murgh Ghee Roast, Vegetable Biryani, Butter Naan, Roti, Hyderabadi Chicken Biryani",450
Srinathji's,1,Yes,3.9 out of 5,661,"Thai Soup, Panneer Butter Masala, Pav Bhaji, Paneer Lajawab, Dahi Papadi Chaat, Butter Naan, Lassi",750
Sichuan,1,No,4.1 out of 5,268,"Singapore Noodles, Fish, Clear Soup, Manchow Soup, Lemongrass Tea, Nasi Goreng, Pad Thai",800
Ovenstory Pizza,1,No,4.0 out of 5,200,"Chocolava Cake, Bruschettas, Chicken Keema, Lava Cake, Tikka, Thick Crust Pizza",750
Stoned Monkey,1,No,3.9 out of 5,228,"Smoothie Chocolate, Vanilla Ice Cream, Hot Chocolate Fudge, Nachos, Waffles, Garlic Bread",500
Kanua,1,Yes,4.4 out of 5,889,"Neer Dosa, Murgh Ghee Roast, Sea Food, Crab Fry, Fry Prawns, Biskoot Roti, Prawn Curry","1,400"
Zeeshan,1,No,2.6 out of 5,155,"Mutton Biryani, Raita, Firni, Chicken Biryani, Rolls, Chicken Tikka Kebab, Naan",600
Dad's Cookhouse,1,No,4.0 out of 5,44,"Liti Chokha, Noodles, Litti, Paratha, Pav Bhaji",300
McDonald's,1,No,3.2 out of 5,258,"Burgers, Fries",500
Abbabi Chicken,1,No,3.8 out of 5,133,"Rolls, Chicken Shawarama, Chicken Shwarma Roll, Abbabi Chicken, Shawarma Roll",200
Azura Restaurant,1,No,2.8 out of 5,95,"Egg Biryani, Dum Biryani, Naan",500
Ritomi's Lov,1,No,3.7 out of 5,48,"Paratha, Thali, Rajma, Poha",400
Southinn,1,No,3.2 out of 5,97,"Vada, Coffee, Idli, Masala Dosa, Tea, Onion Dosa, Podi Dosa",250
Smoor,1,No,3.7 out of 5,44,"Cheesecake, Red Velvet, Chocolate Cake",900
Goli Vada Pav No. 1,1,No,3.3 out of 5,84,"Masala Vada Pav, Kulfi",200
Mughal Treat,1,No,3.6 out of 5,109,"Charcoal Chicken, Shawarma Roll, Chicken Curry, Chicken Biryani, Roti, Garlic Naan, Paneer Tikka Masala",700
Le Charcoal Xpress,1,No,4.0 out of 5,162,"Pita Bread, Rolls, Shawarma Roll, Lebanese Shawarma, Chicken Grill, Barbeque Chicken",500
Foxtrot,1,Yes,4.4 out of 5,1146,"Cocktails, Mocktails, Mai Thai, Murgh Platter, Pizza, Soya Chaap, Keema Samosa","1,200"
Le Gateau - The Cake Shop,1,No,4.4 out of 5,536,"Cup Cake, Fruit Gateau, Sponge Cake, Mango Cake, Eggless Cake, Chocolate Truffle Cake, Cheesecake",600
Deli Chats and Sweets,1,No,4.1 out of 5,39,"Kulcha, Samosa Chaat, Panipuri, Sev Puri, Chai, Filter Coffee, Aloo Tikki Chole",200
Eden Huts Restaurant,0,No,4.0 out of 5,213,"Roti, Chicken Kebab, Panneer Butter Masala, Ghee Rice, Butter Naan, Biryani, Jeera Rice",400
Baithak,1,Yes,4.2 out of 5,1383,"Wood Fire Pizza, Cocktails, Ferrero Rocher Shake, Falafel, Peri Peri Chicken, Pasta, Nachos","1,100"
Mumbai Xpress,1,No,2.9 out of 5,89,"Chai, Vada Pav, Pizza",350
Filmy Kitchen,1,No,3.7 out of 5,182,"Paneer Tikka, Dal Bati, Gulab Jamun, Thali, Tandoori Mushrooms, Chole, Chinese Bhel",400
The Belgian Waffle Co.,1,No,4.1 out of 5,129,"Belgian Waffles, Belgian Chocolate Waffle",350
Samaroh,0,No,4.0 out of 5,246,"Kulfi, Rajasthani Thali, Sweet Paan, Buttermilk, Rasmalai, Chaat, Lassi","1,200"
Fusion Tadka,1,No,3.7 out of 5,34,"Gulab Jamun, Lassi, Manchurian Roll",450
Pizza Stop,1,No,3.2 out of 5,44,"Pasta, Pizza, Garlic Bread",600
NH-1,1,No,3.8 out of 5,376,"Lassi, Aloo Gobhi, Butter Chicken, Roti, Afghan Chicken, Matar Paneer, Laccha Paratha",600
Matinee Bar & Kitchen,1,Yes,4.2 out of 5,340,"Khao Suey, Pizza, Virgin Mojito, Cocktails, Sushi, Fish, Ramen","1,700"
Delhi Restaurant,1,No,3.8 out of 5,54,Dal Tadka,400
Chatorezz,1,No,3.6 out of 5,26,Paratha,250
Aapni Rasoi,1,No,3.2 out of 5,127,"Dal Tadka, Matar Methi Malai, Malai Kofta, Jeera Rice, Roti",400
Tapout Tavern,1,Yes,4.1 out of 5,322,"Cocktails, Noodles, Chips, Shephards Pie, Lamb, Pizza, Mocktails","1,200"
Shanghai Bistro,1,No,4.1 out of 5,248,"Noodles, Chicken Momo, Chicken Manchurian, Crabmeat Soup, Momos, Chop Suey, Chicken Manchow Soup",800
Hyderabad Biryaani Home,1,No,3.0 out of 5,137,"Chicken, Hyderabadi Biryani, Mutton Biryani",650
Pabrai's Fresh & Naturelle Icecreams,1,No,4.3 out of 5,324,"Gur Ice Cream, Nolen Gurer Ice Cream, Pizza, Nolen Gur, Paan Ice Cream, Filter Coffee Ice Cream, Chocolate Hazelnut",180
Drunken Monkey,1,No,4.0 out of 5,119,"Sandwiches, Chicken Tikka Sandwich",400
Kritunga Restaurant,1,No,3.8 out of 5,1972,"Mushroom Biryani, Bamboo Chicken, Paneer Biryani, Mutton Biryani, Chicken Pot Biryani, Dum Biryani, Ragi Mudde",650
Pop Hop,1,No,4.0 out of 5,57,Cheesecake,300
Kabab Mandra,1,No,2.9 out of 5,243,"Chicken Grill, Butter Chicken, Shawarma, Chicken Shwarma Roll, Chicken Lollipop, Rumali Roti, Rolls",300
Chicken Man,1,No,3.7 out of 5,48,"Burgers, Wings",400
Hoot,1,Yes,4.2 out of 5,7193,"Sea Food, Craft Beer, Cocktails, Tempura Prawns, Dahi Ke Kebab, Tandoori Platter, Mocktails","1,400"
Ice N Fries Cafe,1,No,3.7 out of 5,39,Burgers,200
Nutty Squirrel,1,No,3.8 out of 5,72,"Brownie Chocolate, Ice Cream Sandwich, Brownie Sundae, Waffles",300
Cooking Mom,1,No,2.9 out of 5,182,"Fish Chilli, Kadhai Paneer, Vegetable Biryani, Chicken Kebab, Veg Thali, Chicken Butter Masala, Butter Naan",800
Biriyani Bungalow,1,No,3.9 out of 5,222,"Chicken Biryani, Vegetable Biryani, Hyderabadi Biryani, Mutton Biryani, Paneer Biryani, Chicken Guntur, Tandoori Chicken",800
Absolute Shawarma,1,No,3.8 out of 5,116,Mexican Shawarma,150
The Irish House,1,No,4.2 out of 5,793,"Beer, Cocktails, Burgers, Mini Tacos, Sweet Corn Pizza, Fries, Sea Food","1,700"
Gusto's Pizza,1,No,3.0 out of 5,289,"Pasta, Salads, Cheesy Garlic Bread, Mint Mojito, Chicken Salad, Veg Extravaganza Pizza, Pane Pizza",500
Mak n Vak - Fyn,1,No,3.9 out of 5,337,"Liti Chokha, Chilli Chicken, Chicken Litti, Paratha, Lassi, Pan Fried Momos, Egg Curry",500
Carlos Cake Cafe,1,No,3.8 out of 5,81,"Pasta, Chocolate Truffle, Burgers, Blueberry Cheesecake",300
Mighty Paws,1,No,4.0 out of 5,136,"Waffles, Coffee, Salads, Burgers, Pasta, Paneer Burger, Sandwiches",500
Brimstone Cafe,1,Yes,4.0 out of 5,387,"Pasta, Pizza, Sandwiches, Chilli Cheese Garlic Bread, Hazelnut Latte, Tea, Cappuccino","1,300"
Jashn,1,No,3.7 out of 5,132,"Chicken Curry, Lunch Buffet, Chicken Biryani, Paratha, Lassi, Gajar Halwa, Chicken Grill",750
Health Zingo,0,No,3.8 out of 5,368,"Sattu Paratha, Pasta, Idli, Salads, Thali, Khichda, Masala Dosa",600
Apsara Ice Cream,0,No,4.1 out of 5,83,"Blueberry Cheesecake, Panipuri, Sitaphal Ice Cream",200
As On Fire,1,No,3.8 out of 5,174,"Chicken Drumsticks, Wood Fire Pizza, Thin Crust Pizza, Barbeque Chicken, Lime Soda, Veggie Pizza, Bbq Chicken",400
Soul Treat,1,No,4.3 out of 5,269,"Fruit Cake, Blueberry Cake, Brownie, Chocolate Walnut Cake, Carrot Cake, Chocolate Blueberry, Meetha Paan",750
Kadala Teera,1,No,3.8 out of 5,46,"Sea Food, Chicken Kebab, Crab Sukha, Veg Fried Rice",600
Red Stone Kitchen,1,No,3.8 out of 5,91,Friendly Staff,750
Second Wife Cafe,1,No,3.8 out of 5,60,"Paneer Tikka, Tandoori Momos, Soya Chaap, Afghani Chaap",400
Khan Saheb Grills And Rolls,1,No,3.2 out of 5,135,"Rolls, Beda Roti, Chicken Baida Roti, Chicken Tikka Roll, Aloo Tikka Roll, Mushroom Roll",400
Paratha's Kitchen,1,No,2.8 out of 5,32,"Paratha, Chole",200
Cafe Mondo,1,No,3.6 out of 5,484,"Coffee, Pasta, Sandwiches, Pizza, Nachos, Blueberry Cheesecake, Burgers",700
The Vape,1,No,4.0 out of 5,600,"Pasta Primavera, Mocktails, Cheese Corn Balls, Noodles, Pad Thai, Sushi, Pasta Alfredo",800
Food Theory,0,No,3.0 out of 5,88,"Pasta, Tandoori Roti, Brownie",500
Nukkad,1,No,3.0 out of 5,106,"Biryani, Pepper Chicken, Ghee Rice, Dal Fry",500
Burrito Boys,0,No,2.7 out of 5,39,Rice Bowl,330
Dhaba Shaba,1,No,3.2 out of 5,61,"Paratha, Rajma Chawal",250
Ghar Ka Chulha,1,No,3.1 out of 5,117,"Paratha, Panneer Butter Masala, Roti, Khichda",550
Cafe Daily Bread,0,No,3.7 out of 5,128,"Pasta, Sandwich, Sandwiches, Caesar Salad, Salads, Fries, Egg Wrap",600
Mishmash,1,No,3.9 out of 5,1240,"Cocktails, Tandoori Chicken, Paneer Tikka, Stuffed Mushroom, Pasta Alfredo, Mocktails, Salads","1,400"
Sri Sai Mango Tree Restaurant,0,No,3.6 out of 5,336,"Chicken Biryani, Kastoori Chicken, Rice, Mushroom Biryani, Mutton Biryani, Paneer Biryani, Tandoori Chicken",600
Bhagini,0,No,2.3 out of 5,131,"Masala Peanuts, Chicken Biryani, Roti",800
Unico,1,No,3.7 out of 5,66,"Orange Juice, Garlic Naan",550
Dosa Time,1,No,3.8 out of 5,106,"Pizza Dosa, Pav Bhaji Dosa",200
Ammi's Biryani,0,No,2.8 out of 5,43,"Chicken Biryani, Mutton Biryani",500
ReadyBowl,1,No,3.6 out of 5,76,"Chicken Biryani, Rice, Punjabi Chicken, Vegetable Biryani",300
Kawaii,1,No,3.8 out of 5,138,"Mochi Ice Cream, Milk Tea",500
B.M.W - Bhookh Mitaane Wala,1,No,3.7 out of 5,500,"Butter Chicken, Pasta, Gulab Jamun, Rolls, Fruit Custard, Masala Maggi, Gajar Ka Halwa",500
Lovely Knights,1,No,3.5 out of 5,356,"Dragon Chicken, Noodles",500
Mast Kalandar,0,No,2.1 out of 5,337,"Khichda, Gaon Ki Thali, Buttermilk, Dal Makhani, Paratha, Shikanji, Paneer Bhurji",450
Bonfooder,1,No,3.9 out of 5,36,"Dahi Bhalle, Thali",400
Cafe At The Atelier,1,No,4.2 out of 5,500,"Coffee, Pasta, Burgers, Chocolate Milkshake, Spaghetti, Sandwich, Pancakes",800
Eatsomnia,1,No,3.5 out of 5,435,"Naan, Chicken Biryani, Butter Chicken, Pasta, Noodles, Rajma Chawal, Maggi",500
Spice Of Kolkata,0,No,2.8 out of 5,116,"Rolls, Biryani, Dum Aloo",400
Spice Garden by Dum Mast Biryani,0,No,3.2 out of 5,59,"Biryani, Paneer Pasanda",550
Parathabox,0,No,3.8 out of 5,63,"Cheesy Corn, Paneer Cheese",150
La-Pizza,1,No,3.6 out of 5,151,"Pasta, Burgers, Farm Pizza, Fries",450
Nite Out,1,No,4.0 out of 5,353,"Brownie Chocolate, Chicken Biryani, Veg Momos, Noodles",500
That Garage Cafe,1,No,3.1 out of 5,100,"Coffee, Mutton Steak, Veg Burger, Plum Cake, Ginger Tea",650
Cupcake Noggins,0,No,3.9 out of 5,177,"Cup Cake, Chocolate Decadence, Blueberry Cheesecake, Coffee",300
Swathi Deluxe,1,Yes,3.9 out of 5,218,"Ghee Roast Mutton, Paneer Tikka Masala, Dum Aloo, Fish, Murgh Ghee Roast, Chilli Chicken, Fried Rice",750
THE RIG,0,Yes,4.3 out of 5,1585,"Bang Bang Chicken, Cocktails, Vegetable Biryani, Craft Beer, Stout, Cosmopolitan, Sandwich","1,500"
Butter Side Up,1,No,4.1 out of 5,111,"Cup Cake, Pie, Red Velvet, Chocolate Cake, German Chocolate",600
Just Delhiwala,1,No,3.8 out of 5,80,"Chole, Lassi, Paratha",300
Foodzoo,1,No,3.7 out of 5,122,"Paratha, Puri Sabzi, Tea, Chole",300
Mumbai Kulfi,1,No,4.0 out of 5,92,"Calcutta Paan, Malai Kulfi, Tender Coconut Kulfi, Kesar Pista Kulfi, Mango Kulfi",100
Wow Vada Pav,1,No,3.7 out of 5,40,"Chaat, Burgers, Cheese Maggi, Tea, Chocolate Shake, Lassi, Cheese Vada Pav",150
Anand Sweets And Savouries,0,No,4.2 out of 5,267,"Chole Bhature, Rasmalai, Rasgulla, Chaat, Pav Bhaji, Kaju Katli, Samosa",400
Nayi Dilli by Anand Sweets,0,Yes,4.0 out of 5,119,"Phirni, Butter Naan, Kadhai Paneer, Tandoori Roti, Paratha, Dal Makhani, Paneer Tikka","1,000"
Cauvery Hyderabadi Biriyani,0,No,3.8 out of 5,111,"Lemon Chicken, Hyderabadi Chicken Biryani, Andhra Meal",600
Paratha Plaza,0,No,3.5 out of 5,68,"Sattu Paratha, Lassi, Dal Makhani, Roti",250
Nandhini Deluxe,0,No,2.9 out of 5,108,Chicken Biryani,800
Rolls On Wheels,0,No,3.5 out of 5,132,"Rolls, Veg Momos, Chicken Momo, Paneer Tikka Roll",300
Health Gourmet,1,No,3.8 out of 5,117,"Pasta, Peri Peri Chicken, Basil Smoothie, Baked Chicken, Yakisoba",600
Polar Bear,1,No,4.2 out of 5,213,"Sandwiches, Waffles, Kulfi, Brownie, Hot Chocolate Fudge, Chocolate Cake, Cheese Sandwich",400
Natural Ice Cream,0,No,4.3 out of 5,384,"Mango Ice Cream, Coffee Walnut, Waffle Cone, Tender Coconut Ice Cream, Custard Apple, Kesar Pista, Chips",150
Hokey Pokey Ice Creams,0,No,3.9 out of 5,75,"Cheesecake, Rolls, Coffee, Ice Cream Roll",350
Warm Oven,1,No,3.9 out of 5,93,"Red Velvet Cake, Chocolate Truffle",500
Chullah Chandigarh,0,No,4.2 out of 5,308,"Lassi, Murgh Patiala, Dal Makhani, Hara Bhara Kabab, Malai Kofta, Stuffed Mushroom, Paneer Tikka",800
Dalchini,0,No,4.0 out of 5,225,"Lassi, Buttermilk, Tandoori Chicken, Mutton Biryani, Dhania Chicken, Mutton Roganjosh, Naan",700
BG's Poolside Bar & Grill,0,Yes,4.1 out of 5,106,"Cocktails, Pasta, Sunday Brunch, Red Wine Sangria, Shotgun Chicken, New Zealand Lamb Chops, Beer","1,600"
Glassy,0,Yes,4.2 out of 5,707,"Cocktails, Mocktails, Chicken Chatpata, Beer, Chilli Chicken, Fish Tikka, Masala Peanuts","1,400"
Moriz Restaurant,1,No,2.6 out of 5,74,"Shawarma, Pepper Chicken",800
